id,name,party,sector,country,type
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland,1
lk,Lars Klingbeil,SPD,Politik,Deutschland,1
nr,Norbert Röttgen,CDU,Politik,Deutschland,1
sw,Sahra Wagenknecht,DieLinke,Politik,Deutschland,1
cs,Constanze Stelzenmüller,,Jura,Deutschland,1
500,Folge 500,,,,2
CDU,CDU,CDU,,,2
SPD,SPD,SPD,,,2
DieLinke,DieLinke,DieLinke,,,2
cd,Christian Lindner,FDP,Politik,Deutschland,1
FDP,FDP,FDP,,,2
ks,Karl Schlögel,,Wissenschaft,Deutschland,1
lm,Ljudmyla Melnyk,,Politik,Ukraine,1
kd,Kristina Dunz,,Journalismus,Deutschland,1
el,Egils Levits,,Politik,Lettland,1
501,Folge 501,,,,2
ab,Annalena Baerbock,DieGrünen,Politik,Deutschland,1
ft,Franz Timmermans,,Politik,Niederlande,1
am,Andrij Melnyk,,Politik,Ukraine,1
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland,1
er,Egon Ramms,,Militär,Deutschland,1
502,Folge 502,,,,2
rh,Robert Habeck,DieGrünen,Politik,Deutschland,1
DieGrünen,DieGrünen,DieGrünen,,,2
cm,Claudia Major,,Politik,Deutschland,1
kp,Katja Petrowskaja,,Journalismus,Ukraine,1
rk,Roderich Kiesewetter,CDU,Politik,Deutschland,1
503,Folge 503,,,,2
